t_s,port,port_name,status,d1,d2
2487.950401,32:0,ROLI Piano ROLI Piano MIDI 1,213,37,0
2487.961395,32:0,ROLI Piano ROLI Piano MIDI 1,213,39,0
2487.972416,32:0,ROLI Piano ROLI Piano MIDI 1,213,37,0
2487.983430,32:0,ROLI Piano ROLI Piano MIDI 1,213,36,0
2487.994349,32:0,ROLI Piano ROLI Piano MIDI 1,213,34,0
2488.005372,32:0,ROLI Piano ROLI Piano MIDI 1,213,33,0
2488.016471,32:0,ROLI Piano ROLI Piano MIDI 1,213,30,0
2488.027391,32:0,ROLI Piano ROLI Piano MIDI 1,213,26,0
2488.038506,32:0,ROLI Piano ROLI Piano MIDI 1,213,21,0
2488.049479,32:0,ROLI Piano ROLI Piano MIDI 1,213,15,0
2488.060463,32:0,ROLI Piano ROLI Piano MIDI 1,213,7,0
2488.071390,32:0,ROLI Piano ROLI Piano MIDI 1,213,0,0
2488.192407,32:0,ROLI Piano ROLI Piano MIDI 1,133,53,1
2488.223428,32:0,ROLI Piano ROLI Piano MIDI 1,145,81,75
2488.332450,32:0,ROLI Piano ROLI Piano MIDI 1,209,2,0
2488.343436,32:0,ROLI Piano ROLI Piano MIDI 1,209,3,0
2488.354509,32:0,ROLI Piano ROLI Piano MIDI 1,209,2,0
2488.387330,32:0,ROLI Piano ROLI Piano MIDI 1,209,3,0
2488.409373,32:0,ROLI Piano ROLI Piano MIDI 1,209,0,0
2488.432392,32:0,ROLI Piano ROLI Piano MIDI 1,225,108,63
2488.437481,32:0,ROLI Piano ROLI Piano MIDI 1,225,81,63
2488.442416,32:0,ROLI Piano ROLI Piano MIDI 1,225,56,63
2488.447429,32:0,ROLI Piano ROLI Piano MIDI 1,225,28,63
2488.452467,32:0,ROLI Piano ROLI Piano MIDI 1,225,18,63
2488.457439,32:0,ROLI Piano ROLI Piano MIDI 1,225,29,63
2488.462452,32:0,ROLI Piano ROLI Piano MIDI 1,225,46,63
2488.464482,32:0,ROLI Piano ROLI Piano MIDI 1,209,4,0
2488.467378,32:0,ROLI Piano ROLI Piano MIDI 1,225,76,63
2488.472442,32:0,ROLI Piano ROLI Piano MIDI 1,225,108,63
2488.475420,32:0,ROLI Piano ROLI Piano MIDI 1,209,14,0
2488.477531,32:0,ROLI Piano ROLI Piano MIDI 1,225,0,64
2488.486396,32:0,ROLI Piano ROLI Piano MIDI 1,209,23,0
2488.497397,32:0,ROLI Piano ROLI Piano MIDI 1,209,27,0
2488.508406,32:0,ROLI Piano ROLI Piano MIDI 1,209,29,0
2488.517520,32:0,ROLI Piano ROLI Piano MIDI 1,225,7,64
2488.519386,32:0,ROLI Piano ROLI Piano MIDI 1,209,30,0
2488.522394,32:0,ROLI Piano ROLI Piano MIDI 1,225,24,64
2488.527414,32:0,ROLI Piano ROLI Piano MIDI 1,225,34,64
2488.530433,32:0,ROLI Piano ROLI Piano MIDI 1,209,32,0
2488.537420,32:0,ROLI Piano ROLI Piano MIDI 1,225,33,64
2488.541435,32:0,ROLI Piano ROLI Piano MIDI 1,209,34,0
2488.542425,32:0,ROLI Piano ROLI Piano MIDI 1,225,24,64
2488.547355,32:0,ROLI Piano ROLI Piano MIDI 1,225,9,64
2488.552383,32:0,ROLI Piano ROLI Piano MIDI 1,209,36,0
2488.552395,32:0,ROLI Piano ROLI Piano MIDI 1,225,0,64
2488.563356,32:0,ROLI Piano ROLI Piano MIDI 1,209,33,0
2488.574401,32:0,ROLI Piano ROLI Piano MIDI 1,209,28,0
2488.585367,32:0,ROLI Piano ROLI Piano MIDI 1,209,17,0
2488.587388,32:0,ROLI Piano ROLI Piano MIDI 1,225,120,63
2488.592493,32:0,ROLI Piano ROLI Piano MIDI 1,225,80,63
2488.596517,32:0,ROLI Piano ROLI Piano MIDI 1,209,8,0
2488.597545,32:0,ROLI Piano ROLI Piano MIDI 1,225,47,63
2488.602428,32:0,ROLI Piano ROLI Piano MIDI 1,225,4,63
2488.607456,32:0,ROLI Piano ROLI Piano MIDI 1,209,1,0
2488.607472,32:0,ROLI Piano ROLI Piano MIDI 1,225,115,62
2488.612403,32:0,ROLI Piano ROLI Piano MIDI 1,225,107,62
2488.617413,32:0,ROLI Piano ROLI Piano MIDI 1,225,111,62
2488.618384,32:0,ROLI Piano ROLI Piano MIDI 1,209,0,0
2488.622442,32:0,ROLI Piano ROLI Piano MIDI 1,225,117,62
2488.627457,32:0,ROLI Piano ROLI Piano MIDI 1,225,1,63
2488.629275,32:0,ROLI Piano ROLI Piano MIDI 1,209,5,0
2488.632433,32:0,ROLI Piano ROLI Piano MIDI 1,225,17,63
2488.637627,32:0,ROLI Piano ROLI Piano MIDI 1,225,36,63
2488.640462,32:0,ROLI Piano ROLI Piano MIDI 1,209,11,0
2488.642388,32:0,ROLI Piano ROLI Piano MIDI 1,225,56,63
2488.647476,32:0,ROLI Piano ROLI Piano MIDI 1,225,79,63
2488.651477,32:0,ROLI Piano ROLI Piano MIDI 1,209,18,0
2488.652291,32:0,ROLI Piano ROLI Piano MIDI 1,225,100,63
2488.657389,32:0,ROLI Piano ROLI Piano MIDI 1,225,116,63
2488.662418,32:0,ROLI Piano ROLI Piano MIDI 1,209,23,0
2488.662435,32:0,ROLI Piano ROLI Piano MIDI 1,225,0,64
2488.673401,32:0,ROLI Piano ROLI Piano MIDI 1,209,28,0
2488.684490,32:0,ROLI Piano ROLI Piano MIDI 1,209,32,0
2488.690388,32:0,ROLI Piano ROLI Piano MIDI 1,150,52,95
2488.698391,32:0,ROLI Piano ROLI Piano MIDI 1,209,33,0
2488.712381,32:0,ROLI Piano ROLI Piano MIDI 1,209,30,0
2488.726379,32:0,ROLI Piano ROLI Piano MIDI 1,209,25,0
2488.740468,32:0,ROLI Piano ROLI Piano MIDI 1,209,19,0
2488.741312,32:0,ROLI Piano ROLI Piano MIDI 1,225,1,64
2488.747453,32:0,ROLI Piano ROLI Piano MIDI 1,225,14,64
2488.753487,32:0,ROLI Piano ROLI Piano MIDI 1,225,15,64
2488.754219,32:0,ROLI Piano ROLI Piano MIDI 1,209,10,0
2488.759502,32:0,ROLI Piano ROLI Piano MIDI 1,225,11,64
2488.765539,32:0,ROLI Piano ROLI Piano MIDI 1,225,0,64
2488.768485,32:0,ROLI Piano ROLI Piano MIDI 1,209,0,0
2488.851464,32:0,ROLI Piano ROLI Piano MIDI 1,230,113,63
2488.857460,32:0,ROLI Piano ROLI Piano MIDI 1,230,95,63
