t,src,status,d1,d2
1788433239.527617,iPad,158,38,120
1788433239.592894,iPad,222,0,0
1788433239.593015,iPad,142,38,64
1788433239.977615,iPad,239,0,64
1788433239.977615,iPad,159,62,120
1788433240.093367,iPad,239,6,64
1788433240.109931,iPad,239,12,64
1788433240.126469,iPad,223,0,0
1788433240.126578,iPad,143,62,64
1788433240.460921,iPad,225,0,64
1788433240.460921,iPad,145,52,120
1788433240.692794,iPad,209,0,0
1788433240.692869,iPad,129,52,64
1788433240.927943,iPad,226,0,64
1788433240.927943,iPad,146,41,120
1788433241.159525,iPad,210,0,0
1788433241.159652,iPad,130,41,64
1788433241.394091,iPad,227,0,64
1788433241.394091,iPad,147,52,120
1788433241.410370,iPad,228,0,64
1788433241.410370,iPad,148,29,120
1788433241.459701,iPad,228,2,64
1788433241.459701,iPad,227,14,64
1788433241.476103,iPad,228,19,64
1788433241.476103,iPad,227,42,64
1788433241.493112,iPad,228,44,64
1788433241.493270,iPad,227,78,64
1788433241.509631,iPad,228,75,64
1788433241.509742,iPad,227,108,64
1788433241.526420,iPad,228,105,64
1788433241.526534,iPad,227,9,65
1788433241.542970,iPad,228,3,65
1788433241.543060,iPad,227,32,65
1788433241.559588,iPad,228,18,65
1788433241.559672,iPad,227,46,65
1788433241.576465,iPad,228,26,65
1788433241.576618,iPad,227,54,65
1788433241.592987,iPad,228,28,65
1788433241.592987,iPad,227,55,65
1788433241.609638,iPad,228,29,65
1788433241.609638,iPad,227,56,65
1788433241.709372,iPad,227,55,65
1788433241.725837,iPad,227,54,65
1788433241.742350,iPad,227,53,65
1788433241.759227,iPad,227,52,65
1788433241.776244,iPad,228,28,65
1788433241.776244,iPad,227,51,65
1788433241.792892,iPad,227,50,65
1788433241.826281,iPad,228,27,65
1788433241.892907,iPad,228,26,65
1788433242.059713,iPad,227,51,65
1788433242.059856,iPad,212,0,0
1788433242.059972,iPad,132,29,64
1788433242.076130,iPad,227,53,65
1788433242.092666,iPad,227,55,65
1788433242.109404,iPad,227,56,65
1788433242.126194,iPad,211,0,0
1788433242.126307,iPad,131,52,64
1788433242.410795,iPad,229,0,64
1788433242.410795,iPad,149,102,120
1788433242.492557,iPad,213,0,0
1788433242.492655,iPad,133,102,64
1788433242.593708,iPad,230,0,64
1788433242.593708,iPad,150,102,120
1788433242.659226,iPad,214,0,0
1788433242.659321,iPad,134,102,64
1788433242.760493,iPad,233,0,64
1788433242.760493,iPad,153,102,120
1788433242.825933,iPad,217,0,0
1788433242.826034,iPad,137,102,64
1788433242.910768,iPad,231,0,64
1788433242.910768,iPad,151,102,120
1788433242.976056,iPad,215,0,0
1788433242.976162,iPad,135,102,64
1788433243.277941,iPad,232,0,64
1788433243.277941,iPad,152,41,120
1788433243.392708,iPad,216,0,0
1788433243.392834,iPad,136,41,64
1788433243.860336,iPad,234,0,64
1788433243.860336,iPad,154,102,120
1788433243.976065,iPad,218,0,0
1788433243.976169,iPad,138,102,64
1788433244.343507,iPad,235,0,64
1788433244.343507,iPad,155,100,120
1788433244.442639,iPad,219,0,0
1788433244.442736,iPad,139,100,64
1788433244.776777,iPad,236,0,64
1788433244.776777,iPad,156,101,120
1788433245.309310,iPad,236,3,64
1788433245.309469,iPad,220,1,0
1788433245.342635,iPad,236,4,64
1788433245.376046,iPad,236,5,64
1788433245.376202,iPad,220,2,0
1788433245.392404,iPad,236,6,64
1788433245.409221,iPad,236,7,64
1788433245.425862,iPad,236,9,64
1788433245.426011,iPad,220,0,0
1788433245.426119,iPad,140,101,64
1788433245.727198,iPad,237,0,64
1788433245.727198,iPad,157,42,120
1788433245.775894,iPad,221,0,0
1788433245.776055,iPad,141,42,64
1788433245.877091,iPad,238,0,64
1788433245.877091,iPad,158,42,120
1788433245.942396,iPad,222,0,0
1788433245.942493,iPad,142,42,64
1788433246.043571,iPad,239,0,64
1788433246.043571,iPad,159,42,120
1788433246.092534,iPad,223,0,0
1788433246.092675,iPad,143,42,64
1788433246.193671,iPad,225,0,64
1788433246.193671,iPad,145,42,120
1788433246.259068,iPad,209,0,0
1788433246.259170,iPad,129,42,64
1788433246.627198,iPad,226,0,64
1788433246.627198,iPad,146,65,120
1788433246.642772,iPad,226,124,63
1788433246.659337,iPad,226,119,63
1788433246.675979,iPad,226,118,63
1788433246.709405,iPad,226,119,63
1788433246.725911,iPad,226,122,63
1788433246.742272,iPad,226,125,63
1788433246.759146,iPad,226,3,64
1788433246.776176,iPad,226,12,64
1788433246.792410,iPad,226,14,64
1788433246.792961,iPad,210,0,0
1788433246.793158,iPad,130,65,64
1788433247.110530,iPad,228,0,64
1788433247.110530,iPad,148,41,120
1788433247.325965,iPad,212,0,0
1788433247.326061,iPad,132,41,64
1788433247.560599,iPad,227,0,64
1788433247.560599,iPad,147,41,120
1788433247.775957,iPad,211,0,0
1788433247.776062,iPad,131,41,64
1788433248.043276,iPad,229,0,64
1788433248.043276,iPad,149,44,120
1788433248.692609,iPad,229,125,63
1788433248.692787,iPad,213,3,0
1788433248.709001,iPad,229,123,63
1788433248.709106,iPad,213,10,0
1788433248.709187,iPad,213,0,0
1788433248.709259,iPad,133,44,64
1788433248.910513,iPad,230,0,64
1788433248.910513,iPad,150,41,120
1788433248.975503,iPad,214,0,0
1788433248.975614,iPad,134,41,64
1788433249.059950,iPad,233,0,64
1788433249.059950,iPad,153,41,120
1788433249.125502,iPad,217,0,0
1788433249.125613,iPad,137,41,64
1788433249.243775,iPad,231,0,64
1788433249.243775,iPad,151,41,120
1788433249.292157,iPad,215,0,0
1788433249.292274,iPad,135,41,64
1788433249.393131,iPad,232,0,64
1788433249.393131,iPad,152,41,120
1788433249.475462,iPad,216,0,0
1788433249.475561,iPad,136,41,64
1788433249.827201,iPad,234,0,64
1788433249.827201,iPad,154,65,120
1788433249.975773,iPad,234,1,64
1788433249.975890,iPad,218,0,0
1788433249.976242,iPad,138,65,64
1788433250.277540,iPad,235,0,64
1788433250.277540,iPad,155,40,120
1788433250.492423,iPad,219,0,0
1788433250.492559,iPad,139,40,64
1788433250.676993,iPad,236,0,64
1788433250.676993,iPad,156,42,120
1788433250.925478,iPad,220,0,0
1788433250.925594,iPad,140,42,64
1788433251.176377,iPad,237,0,64
