t,src,status,d1,d2
1788426328.937021,Réseau Session RTP 1,185,6,48
1788426328.937021,Réseau Session RTP 1,185,101,127
1788426328.955198,Réseau Session RTP 1,185,100,127
1788426328.955198,Réseau Session RTP 1,186,101,0
1788426328.955198,Réseau Session RTP 1,186,100,0
1788426328.955198,Réseau Session RTP 1,186,6,48
1788426328.971172,Réseau Session RTP 1,186,101,127
1788426328.971172,Réseau Session RTP 1,186,100,127
1788426328.971172,Réseau Session RTP 1,187,101,0
1788426328.971172,Réseau Session RTP 1,187,100,0
1788426328.987382,Réseau Session RTP 1,187,6,48
1788426328.987382,Réseau Session RTP 1,187,101,127
1788426328.987382,Réseau Session RTP 1,187,100,127
1788426328.987382,Réseau Session RTP 1,188,101,0
1788426329.006353,Réseau Session RTP 1,188,100,0
1788426329.006353,Réseau Session RTP 1,188,6,48
1788426329.006353,Réseau Session RTP 1,188,101,127
1788426329.006353,Réseau Session RTP 1,188,100,127
1788426329.021011,Réseau Session RTP 1,189,101,0
1788426329.021011,Réseau Session RTP 1,189,100,0
1788426329.021011,Réseau Session RTP 1,189,6,48
1788426329.021011,Réseau Session RTP 1,189,101,127
1788426329.036956,Réseau Session RTP 1,189,100,127
1788426329.036956,Réseau Session RTP 1,190,101,0
1788426329.036956,Réseau Session RTP 1,190,100,0
1788426329.036956,Réseau Session RTP 1,190,6,48
1788426329.054880,Réseau Session RTP 1,190,101,127
1788426329.054880,Réseau Session RTP 1,190,100,127
1788426329.054880,Réseau Session RTP 1,191,101,0
1788426329.054880,Réseau Session RTP 1,191,100,0
1788426329.054880,Réseau Session RTP 1,191,6,48
1788426329.075275,Réseau Session RTP 1,191,101,127
1788426329.075275,Réseau Session RTP 1,191,100,127
1788426330.145187,Réseau Session RTP 1,176,101,0
1788426330.145187,Réseau Session RTP 1,176,100,6
1788426330.145187,Réseau Session RTP 1,176,6,15
1788426330.157034,Réseau Session RTP 1,176,101,127
1788426330.157034,Réseau Session RTP 1,176,100,127
1788426330.157034,Réseau Session RTP 1,177,101,0
1788426330.170861,Réseau Session RTP 1,177,100,0
1788426330.170861,Réseau Session RTP 1,177,6,48
1788426330.170861,Réseau Session RTP 1,177,101,127
1788426330.182957,Réseau Session RTP 1,177,100,127
1788426330.182957,Réseau Session RTP 1,178,101,0
1788426330.182957,Réseau Session RTP 1,178,100,0
1788426330.182957,Réseau Session RTP 1,178,6,48
1788426330.201869,Réseau Session RTP 1,178,101,127
1788426330.201869,Réseau Session RTP 1,178,100,127
1788426330.201869,Réseau Session RTP 1,179,101,0
1788426330.201869,Réseau Session RTP 1,179,100,0
1788426330.217029,Réseau Session RTP 1,179,6,48
1788426330.217029,Réseau Session RTP 1,179,101,127
1788426330.217029,Réseau Session RTP 1,179,100,127
1788426330.228960,Réseau Session RTP 1,180,101,0
1788426330.228960,Réseau Session RTP 1,180,100,0
1788426330.228960,Réseau Session RTP 1,180,6,48
1788426330.228960,Réseau Session RTP 1,180,101,127
1788426330.336297,Réseau Session RTP 1,180,100,127
1788426330.336297,Réseau Session RTP 1,181,101,0
1788426330.336297,Réseau Session RTP 1,181,100,0
1788426330.336297,Réseau Session RTP 1,181,6,48
1788426330.336297,Réseau Session RTP 1,181,101,127
1788426330.336297,Réseau Session RTP 1,181,100,127
1788426330.336297,Réseau Session RTP 1,182,101,0
1788426330.336297,Réseau Session RTP 1,182,100,0
1788426330.336297,Réseau Session RTP 1,182,6,48
1788426330.336297,Réseau Session RTP 1,182,101,127
1788426330.336297,Réseau Session RTP 1,182,100,127
1788426330.336297,Réseau Session RTP 1,183,101,0
1788426330.336297,Réseau Session RTP 1,183,100,0
1788426330.336297,Réseau Session RTP 1,183,6,48
1788426330.336297,Réseau Session RTP 1,183,101,127
1788426330.336297,Réseau Session RTP 1,183,100,127
1788426330.336297,Réseau Session RTP 1,184,101,0
1788426330.336297,Réseau Session RTP 1,184,100,0
1788426330.336297,Réseau Session RTP 1,184,6,48
1788426330.336297,Réseau Session RTP 1,184,101,127
1788426330.336297,Réseau Session RTP 1,184,100,127
1788426330.336297,Réseau Session RTP 1,185,101,0
1788426330.336565,Réseau Session RTP 1,185,100,0
1788426330.336565,Réseau Session RTP 1,185,6,48
1788426330.336565,Réseau Session RTP 1,185,101,127
1788426330.336565,Réseau Session RTP 1,185,100,127
1788426330.359209,Réseau Session RTP 1,186,101,0
1788426330.359209,Réseau Session RTP 1,186,100,0
1788426330.359209,Réseau Session RTP 1,186,6,48
1788426330.359209,Réseau Session RTP 1,186,101,127
1788426330.374968,Réseau Session RTP 1,186,100,127
1788426330.374968,Réseau Session RTP 1,187,101,0
1788426330.374968,Réseau Session RTP 1,187,100,0
1788426330.374968,Réseau Session RTP 1,187,6,48
1788426330.391121,Réseau Session RTP 1,187,101,127
1788426330.391121,Réseau Session RTP 1,187,100,127
1788426330.391121,Réseau Session RTP 1,188,101,0
1788426330.391121,Réseau Session RTP 1,188,100,0
1788426330.407146,Réseau Session RTP 1,188,6,48
1788426330.407146,Réseau Session RTP 1,188,101,127
1788426330.407146,Réseau Session RTP 1,188,100,127
1788426330.407146,Réseau Session RTP 1,189,101,0
1788426330.426349,Réseau Session RTP 1,189,100,0
1788426330.426349,Réseau Session RTP 1,189,6,48
1788426330.426349,Réseau Session RTP 1,189,101,127
1788426330.426349,Réseau Session RTP 1,189,100,127
1788426330.441073,Réseau Session RTP 1,190,101,0
1788426330.441073,Réseau Session RTP 1,190,100,0
1788426330.441073,Réseau Session RTP 1,190,6,48
1788426330.441073,Réseau Session RTP 1,190,101,127
1788426330.458987,Réseau Session RTP 1,190,100,127
1788426330.458987,Réseau Session RTP 1,191,101,0
1788426330.458987,Réseau Session RTP 1,191,100,0
1788426330.458987,Réseau Session RTP 1,191,6,48
1788426330.458987,Réseau Session RTP 1,191,101,127
1788426330.475118,Réseau Session RTP 1,191,100,127
1788426331.700863,Réseau Session RTP 1,230,0,64
1788426331.700863,Réseau Session RTP 1,150,72,120
1788426331.795001,Réseau Session RTP 1,230,40,64
