t,status,d1,d2,src
690697.8512,228,68,63,4
690697.8671,228,71,63,4
690697.8743,228,78,63,4
690697.8819,228,81,63,4
690697.8902,228,84,63,4
690697.8990,228,87,63,4
690697.9072,228,91,63,4
690697.9150,228,94,63,4
690697.9238,228,97,63,4
690697.9326,228,100,63,4
690697.9402,228,103,63,4
690697.9479,228,106,63,4
690697.9560,228,110,63,4
690697.9649,228,113,63,4
690697.9733,228,116,63,4
690697.9816,228,119,63,4
690697.9898,228,122,63,4
690697.9978,228,126,63,4
690698.0060,228,1,64,4
690698.0158,228,4,64,4
690698.0235,228,7,64,4
690698.0312,228,10,64,4
690698.0389,228,13,64,4
690698.0475,228,17,64,4
690698.0567,228,20,64,4
690698.0644,228,23,64,4
690698.0728,228,26,64,4
690698.0815,228,30,64,4
690698.0893,228,33,64,4
690698.0968,228,98,63,4
690698.0968,148,53,127,4
690698.0968,132,52,0,4
690698.1050,228,102,63,4
690698.1135,228,105,63,4
690698.1227,228,108,63,4
690698.1305,228,111,63,4
690698.1391,228,114,63,4
690698.1464,228,118,63,4
690698.1555,228,120,63,4
690698.1638,228,124,63,4
690698.1724,228,127,63,4
690698.1799,228,2,64,4
690698.1885,228,6,64,4
690698.1968,228,9,64,4
690698.2051,228,12,64,4
690698.2142,228,15,64,4
690698.2223,228,18,64,4
690698.2303,228,21,64,4
690698.2387,228,25,64,4
690698.2471,228,28,64,4
690698.2552,228,31,64,4
690698.2629,228,34,64,4
690698.2710,228,37,64,4
690698.2790,228,41,64,4
690698.2871,228,44,64,4
690698.2959,228,47,64,4
690698.3039,228,50,64,4
690698.3119,228,53,64,4
690698.3206,228,56,64,4
690698.3290,228,60,64,4
690698.3376,228,63,64,4
690698.3455,228,66,64,4
690698.3541,228,69,64,4
690698.3628,228,61,63,4
690698.3628,148,55,127,4
690698.3628,132,53,0,4
690698.3705,228,64,63,4
690698.3787,228,67,63,4
690698.3866,228,70,63,4
690698.3953,228,74,63,4
690698.4041,228,77,63,4
690698.4130,228,80,63,4
690698.4205,228,83,63,4
690698.4288,228,86,63,4
690698.4364,228,90,63,4
690698.4446,228,92,63,4
690698.4526,228,96,63,4
690698.4616,228,99,63,4
690698.4694,228,102,63,4
690698.4779,228,105,63,4
690698.4866,228,109,63,4
690698.4950,228,112,63,4
690698.5028,228,115,63,4
690698.5110,228,118,63,4
690698.5194,228,121,63,4
690698.5278,228,125,63,4
690698.5365,228,0,64,4
690698.5447,228,3,64,4
