t_s,port,port_name,status,d1,d2
6305.125445,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,189,101,0
6305.125445,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,189,100,0
6305.125445,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,189,6,48
6305.125446,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,189,101,127
6305.125446,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,189,100,127
6305.125446,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,190,101,0
6305.125446,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,190,100,0
6305.125447,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,190,6,48
6305.125447,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,190,101,127
6305.125447,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,190,100,127
6305.125447,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,191,101,0
6305.125447,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,191,100,0
6305.125448,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,191,6,48
6305.125448,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,191,101,127
6305.125448,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,191,100,127
6305.125448,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,224,0,64
6305.125449,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,176,1,0
6305.125449,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,176,23,0
6305.125449,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,176,24,0
6305.125449,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,176,64,0
6306.580041,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,225,0,64
6306.583143,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,145,38,96
6306.590333,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,209,0,0
6306.592236,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,129,38,64
6306.610249,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,225,0,64
6306.610252,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,145,38,96
6306.610253,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,209,0,0
6306.610253,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,129,38,64
6307.136527,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,226,0,64
6307.139644,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,146,52,96
6307.145638,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,210,0,0
6307.146887,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,130,52,64
6307.150405,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,226,0,64
6307.150407,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,146,52,96
6307.195424,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,210,0,0
6307.195426,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,130,52,64
6307.699097,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,227,0,64
6307.704155,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,147,29,96
6307.704158,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,211,0,0
6307.704771,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,131,29,64
6307.736511,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,227,0,64
6307.736515,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,147,29,96
6307.736516,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,211,0,0
6307.736516,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,131,29,64
6308.254884,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,228,0,64
6308.256372,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,148,43,96
6308.258466,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,212,0,0
6308.261868,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,132,43,64
6308.276420,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,228,0,64
6308.276424,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,148,43,96
6308.276424,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,212,0,0
6308.276425,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,132,43,64
6308.808183,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,229,0,64
6308.810552,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,149,56,96
6308.815234,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,229,0,64
6308.815246,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,149,56,96
6308.816414,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,213,0,0
6308.816415,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,133,56,64
6308.860196,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,213,0,0
6308.860207,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,133,56,64
6309.368680,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,230,0,64
6309.371406,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,150,33,96
6309.375420,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,214,0,0
