t,status,d1,d2,src
30045.8989,231,11,62,1
30045.8989,215,3,0,1
30045.9155,231,114,61,1
30045.9155,215,1,0,1
30045.9322,231,93,61,1
30045.9322,215,0,0,1
30045.9489,231,69,61,1
30045.9655,231,46,61,1
30045.9822,231,21,61,1
30045.9989,231,121,60,1
30046.0155,231,94,60,1
30046.0322,231,73,60,1
30046.0489,231,57,60,1
30046.0655,231,49,60,1
30046.0822,231,45,60,1
30046.0988,231,42,60,1
30046.2156,231,43,60,1
30046.2487,231,44,60,1
30046.4822,215,0,0,1
30046.4822,135,79,64,1
30046.8002,232,0,64,1
30046.8002,152,94,120,1
30046.8321,232,17,64,1
30046.8321,216,11,0,1
30046.8488,232,40,64,1
30046.8488,216,14,0,1
30046.8654,232,68,64,1
30046.8654,216,15,0,1
30046.8822,232,93,64,1
30046.8822,216,17,0,1
30046.8988,232,119,64,1
30046.8988,216,18,0,1
30046.9155,232,18,65,1
30046.9155,216,20,0,1
30046.9322,232,46,65,1
30046.9322,216,22,0,1
30046.9489,232,74,65,1
30046.9655,232,107,65,1
30046.9822,232,7,66,1
30046.9822,216,20,0,1
30046.9988,232,34,66,1
30046.9988,216,19,0,1
30047.0155,232,58,66,1
30047.0322,232,77,66,1
30047.0322,216,18,0,1
30047.0488,232,93,66,1
30047.0488,216,17,0,1
30047.0655,232,106,66,1
30047.0655,216,16,0,1
30047.0822,232,116,66,1
30047.0988,232,124,66,1
30047.1155,232,1,67,1
30047.1321,232,5,67,1
30047.1322,216,15,0,1
30047.1488,232,7,67,1
30047.1655,232,8,67,1
30047.3821,216,0,0,1
30047.3821,136,94,64,1
30047.9003,233,0,64,1
30047.9003,153,105,120,1
30047.9989,233,125,63,1
30048.0154,233,115,63,1
30048.0322,233,99,63,1
30048.0488,233,82,63,1
30048.0655,233,61,63,1
30048.0822,233,39,63,1
30048.0988,233,16,63,1
30048.1155,233,119,62,1
30048.1322,233,96,62,1
30048.1488,233,72,62,1
30048.1655,233,48,62,1
30048.1821,233,28,62,1
30048.1988,233,9,62,1
