t_s,fps,worst_frame_ms,thermal
# t=0.0 surface attached 924x1480
635,120.8,9.72,none
636,120.9,9.57,none
637,120.9,9.79,none
638,120.9,9.65,none
639,120.8,9.47,none
640,120.9,9.46,none
641,121.0,9.79,none
642,120.9,8.99,none
643,120.8,9.61,none
644,120.8,10.85,none
645,121.0,9.44,none
646,120.9,10.25,none
647,120.9,9.10,none
648,120.9,9.66,none
649,120.7,10.10,none
650,121.0,9.37,none
651,120.8,14.85,none
652,120.8,10.27,none
653,120.9,9.76,none
654,120.9,9.70,none
655,120.9,9.56,none
656,120.9,9.77,none
657,120.9,9.73,none
658,120.9,9.44,none
659,120.8,11.07,none
660,120.9,9.77,none
661,120.9,12.42,none
662,120.9,9.45,none
663,120.9,9.62,none
664,120.9,9.61,none
665,120.8,9.05,none
666,120.9,9.90,none
667,120.9,9.53,none
668,120.9,9.63,none
669,120.9,9.89,none
670,120.9,9.45,none
671,120.8,9.20,none
672,120.9,9.49,none
673,120.9,9.95,none
674,120.9,9.37,none
675,120.9,10.00,none
676,120.9,8.99,none
677,120.9,9.80,none
